Account_Number|Account_Name|Transaction_Fee|Phone_Number
4897656141|Lynch LLC|2.96|611-209-3207
0416299120|Bauch-Harber|2.59|184-427-6858
0863190169|Glover LLC|0.14|952-836-2063
3632167314|Bahringer-Morissette|2.58|855-593-2350
2727926816|Rosenbaum-Moore|1.68|512-921-3559
4184579381|Volkman Group|2.7|185-548-4866
5123290115|Swaniawski, Morar and Kuhlman|2.77|673-419-5806
9839996916|Graham LLC|0.81|855-342-7256
3973362421|Ferry, Graham and Dietrich|1.15|173-035-3253
9467539399|Parisian-Weimann|0.92|866-546-4440
6629998899|Terry, Williamson and Funk|2.26|263-634-6729
0354882503|Schumm, Moore and Kessler|0.7|877-925-8204
2856318530|Koepp PLC|0.64|158-773-8298
5592600380|Murazik-Bernhard|1.99|866-571-9562
7766378181|Mertz-Schneider|1.6|521-242-0821
3438836537|Mueller-Waelchi|1.26|855-291-3693
3641356093|Roob-Price|2.07|176-156-9782
8700506040|Sanford, Hirthe and Feest|2.81|800-867-9334
6048175582|Gutmann-Bergstrom|0.86|137-979-0749
1895694558|Howell and Sons|2.8|855-492-9857
4125880961|Ritchie-Boyer|2.36|734-201-3118
8453594605|Spinka, Will and Kassulke|2.63|855-796-3399
2677148512|Nikolaus-Schroeder|2.58|704-920-9266
1918499201|Jakubowski, Cummings and Jacobi|2.05|855-479-1506
0895966664|Kutch, Larkin and Wehner|2.57|186-836-9871
1298991286|Effertz, Lemke and VonRueden|1.24|844-448-3970
0620305785|Reichert, Towne and Gorczany|1.52|154-154-0729
0677360025|Hudson, Buckridge and Dooley|2.67|877-985-7048
8066157797|Jones, Grimes and Fritsch|2.87|304-794-1205
4412349868|Predovic, Leffler and Moore|1.76|855-538-4568
8207031549|Rosenbaum Group|0.05|192-218-3875
0113803156|Thompson PLC|1.76|888-270-5368
3292248498|Johns and Sons|2.49|159-139-6148
6573155122|O''Connell Inc|1.27|855-246-3523
1881405184|Kunze, Schultz and Lehner|2.71|441-985-5485
7566819338|Jacobi-Dibbert|2.93|866-358-9435
8003220858|Beer and Sons|1.75|174-064-5595
0633176540|Crooks, Vandervort and Witting|0.64|186-691-4287
1465669566|O''Kon LLC|0.88|181-794-4228
9843859501|Denesik PLC|0.95|800-470-4395
